nom_image,classe_predite
100_100.jpg,Apricot
101_100.jpg,Apricot
102_100.jpg,Apricot
103_100.jpg,Apricot
104_100.jpg,Apricot
105_100.jpg,Apricot
106_100.jpg,Banana
12_100.jpg,Banana
167_100.jpg,Banana
168_100.jpg,Banana
169_100.jpg,Banana
170_100.jpg,Banana
171_100.jpg,Banana
172_100.jpg,Banana
173_100.jpg,Banana
174_100.jpg,Banana
175_100.jpg,Banana
176_100.jpg,Banana
177_100.jpg,Banana
178_100.jpg,Banana
179_100.jpg,Banana
17_100.jpg,Banana
181_100.jpg,Banana
182_100.jpg,Banana
183_100.jpg,Banana
184_100.jpg,Banana
185_100.jpg,Banana
186_100.jpg,Banana
187_100.jpg,Banana
188_100.jpg,Banana
205_100.jpg,Avocado
20_100.jpg,Apple Braeburn
212_100.jpg,Avocado
217_100.jpg,Avocado
21_100.jpg,Banana
220_100.jpg,Avocado
22_100.jpg,Banana
23_100.jpg,Banana
24_100.jpg,Banana
25_100.jpg,Banana
26_100.jpg,Banana
27_100.jpg,Banana
28_100.jpg,Apricot
29_100.jpg,Apricot
30_100.jpg,Apricot
31_100.jpg,Apricot
33_100.jpg,Banana
34_100.jpg,Banana
36_100.jpg,Banana
37_100.jpg,Banana
38_100.jpg,Banana
39_100.jpg,Banana
40_100.jpg,Banana
41_100.jpg,Banana
42_100.jpg,Banana
43_100.jpg,Banana
45_100.jpg,Banana
57_100.jpg,Banana
r_177_100.jpg,Banana
r_178_100.jpg,Banana
r_179_100.jpg,Banana
r_180_100.jpg,Banana
r_181_100.jpg,Banana
r_182_100.jpg,Banana
r_183_100.jpg,Banana
r_184_100.jpg,Banana
r_185_100.jpg,Banana
r_186_100.jpg,Banana
r_187_100.jpg,Banana
